,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PercentAmplitude,PeriodLS
4497,0.019,0.452391,2,0.313333,0.0005,-7.000000000000002e-06,0.352113,13.293217000000002,0.000711,0.006,0.443333,0.002182,449.716118
4498,0.14300000000000002,0.000199,13,0.356667,0.069,-5.400000000000001e-05,0.033545,13.639327,0.005572,0.0545,0.41,0.015551,0.993307
4499,0.034,0.046506,2,0.34,0.008,-1.5e-05,0.498339,14.099793,0.001294,0.013,0.41,0.003617,1734.04626
4500,0.157,0.0,23,0.25666700000000003,0.111,-4.1e-05,0.21544,14.039137,0.005612,0.06,0.266667,0.019467,681.5566650000002
4501,0.0655,0.003007,6,0.32,-0.018000000000000002,-3.8e-05,1.636661,15.3582,0.0023,0.026,0.353333,0.0057280000000000005,26.28414
4502,0.014,0.239174,2,0.326667,0.0015,-1e-06,0.639386,14.06643,0.00049,0.005,0.483333,0.001848,1.00474
4503,0.0275,0.931204,2,0.330357,0.001,-1.5e-05,0.018969,13.428134,0.001113,0.01,0.357143,0.003128,15.915079
4504,0.0275,0.099238,3,0.27722800000000003,-0.002,8e-06,0.013837,12.875089,0.001046,0.008,0.475248,0.003184,0.971
4505,0.0195,0.682176,2,0.333333,-0.001,-2e-06,0.297066,14.27905,0.000676,0.006,0.353333,0.0017510000000000002,17.852992
4506,0.02225,0.146857,3,0.326923,-0.0075,-2.8000000000000006e-05,0.030699,15.031385,0.000797,0.009000000000000001,0.326923,0.002195,0.498824
4507,0.025,0.034551,5,0.333333,0.008,-2.1e-05,0.024717,13.924816,0.00096,0.01,0.368421,0.002765,132.816137
4508,0.0945,4.3e-05,4,0.276667,0.0275,-1.6e-05,0.60241,13.498943,0.003218,0.025,0.45,0.010448,33.175068
4509,0.0145,0.1927,3,0.33,0.002,-3e-06,0.128977,13.59088,0.00057,0.005,0.44,0.001692,705.026135
4510,0.0525,0.025437,6,0.336667,-0.003,7.000000000000002e-06,1.288245,13.733467,0.001891,0.015,0.536667,0.006189,211.11553
4511,0.146,0.009221,3,0.3,0.039,0.000337,16.71258,19.14289,0.004243,0.0575,0.42,0.013404,0.170995
4512,0.0215,0.050876,2,0.336667,0.002,-1.3e-05,0.384968,14.04134,0.0008699999999999999,0.009000000000000001,0.52,0.003561,16.376285
4513,0.01425,0.432569,1,0.260274,0.001,-3.8e-05,0.065416,15.475808,0.000438,0.005,0.424658,0.001034,0.919932
4514,0.0485,1.6e-05,4,0.25,0.048,-6e-06,0.71048,11.940583,0.00219,0.0155,0.447917,0.0075819999999999985,0.5001260000000001
4515,0.0705,0.006268,1,0.261745,0.023,6e-06,0.525526,18.071,0.001949,0.021,0.590604,0.008190000000000001,0.104452
4516,0.69075,4e-06,7,0.415094,0.273,-0.000587,0.021724,14.031783,0.031422000000000005,0.34,0.264151,0.062775,326.599694
4517,0.028,0.6536649999999999,2,0.326733,-0.0035,1e-05,1.159794,13.084376,0.0010949999999999998,0.01,0.29703,0.002599,1.082803
4518,0.1065,2.9e-05,1,0.25666700000000003,0.046,1.4e-05,0.19541,18.056947,0.002848,0.0295,0.553333,0.012906,1.675284
4519,0.54625,0.0,18,0.4535520000000001,-0.29,0.001291,0.752418,15.608792,0.022287,0.25,0.26776,0.06897,148.65547
4520,0.159,0.0,7,0.343333,0.0165,-4e-05,0.299804,13.939567000000002,0.006227,0.064,0.416667,0.020712,296.344083
4521,0.247,0.031674,11,0.343333,-0.052000000000000005,-0.000148,0.335334,13.61263,0.00923,0.0915,0.34,0.021667,128.788277
4522,0.0305,6e-06,14,0.386667,0.001,-3.6e-05,0.363196,14.09896,0.001231,0.014,0.296667,0.0032630000000000003,37.746211
4523,0.0275,0.059906,6,0.361702,0.0015,5e-06,0.25413,12.767809,0.001073,0.008,0.478723,0.002858,110.99582
4524,0.0815,0.0,5,0.18,0.08800000000000001,0.001356,4.209542,16.103097,0.002397,0.015,0.566667,0.00851,1.460952
4525,0.061,0.0,18,0.466667,-0.0065,0.000758,3.024911,14.19264,0.002841,0.04,0.166667,0.005424,6.278238
4526,0.2115,0.023537,1,0.286667,0.055,1e-06,4.435873,19.18443,0.005804,0.071,0.553333,0.022999,0.294432
4527,0.129,0.0,1,0.296667,0.066,-2e-05,0.20871,18.053113,0.003796,0.04,0.483333,0.014691,0.757288
4528,0.0235,0.421717,2,0.32,0.001,-7.000000000000002e-06,0.151469,14.544963,0.000797,0.008,0.453333,0.002269,0.999704
4529,0.019,0.241381,2,0.356667,0.001,0.0,0.023417,15.020383,0.000637,0.006999999999999999,0.44,0.001797,0.487288
4530,0.0135,0.07097300000000001,2,0.3,0.0,-3e-06,0.673725,15.105937,0.000475,0.005,0.483333,0.001589,1.068043
4531,0.057,0.001517,4,0.33,0.019,-7.000000000000002e-06,1.3093290000000002,14.59893,0.001903,0.018000000000000002,0.45,0.005618,23.762465
4532,0.02425,0.00048,2,0.221519,0.0,0.0,0.036319,13.096608,0.000826,0.0055,0.6202529999999999,0.003474,1.0029629999999998
4533,0.153,0.0,4,0.224719,0.102,1.3e-05,0.028941,12.660135,0.005704,0.032,0.539326,0.018659,66.725895
4534,0.0185,0.30135100000000004,3,0.307692,0.0015,-8e-06,1.074219,15.087184,0.0006259999999999999,0.006999999999999999,0.334448,0.001723,18.924794
4535,0.2695,0.000106,1,0.4130430000000001,-0.101,-4.6e-05,0.704225,15.60379,0.010231,0.138,0.231884,0.021436,3.696854
4536,0.1795,1e-06,1,0.38796,0.036000000000000004,4.9e-05,4.004914,18.685746,0.005431,0.083,0.234114,0.013817,0.360675
4537,0.3835,0.0,1,0.42,-0.232,3e-06,0.5604979999999999,18.94018,0.011323,0.155,0.27,0.028931,0.596896
4538,0.048,0.103726,5,0.378641,-0.008,-4.8e-05,0.042802,12.310117,0.002265,0.021,0.330097,0.005117,46.03754
